Randoplh32,Region,Glacier_Na,CentLAT,CentLON
RGI32-01.17914,Alaska-Yukon,4*9CBE26,61.3282999999999,-140.136992999999
RGI32-01.17915,Alaska-Yukon,4*9CBF32,61.326599,-140.542999
RGI32-01.17916,Alaska-Yukon,4*9CBE54,61.3172,-140.494994999999
RGI32-01.17920,Alaska-Yukon,4*9CAS14,61.249699,-139.979004
RGI32-01.17921,Alaska-Yukon,4*8ABO33,59.845799,-137.669997999999
RGI32-01.17935,Alaska-Yukon,4*8ABD41,59.917599,-137.988998
RGI32-01.17950,Alaska-Yukon,4*8ABG36,60.269001,-138.576996
RGI32-01.17961,Alaska-Yukon,4*8ABK20,60.650398,-138.630997
RGI32-01.17963,Alaska-Yukon,4*8ABH65,60.399399,-138.431
RGI32-01.18014,Alaska-Yukon,4*8ABG75,60.3367999999999,-138.201996
RGI32-01.18016,Alaska-Yukon,4*8ABH42,60.3549,-138.309006
RGI32-01.18059,Alaska-Yukon,4*8ABI40,60.5194019999999,-138.384995
RGI32-01.18070,Alaska-Yukon,4*8ABM7,60.5769009999999,-137.593994
RGI32-01.18117,Alaska-Yukon,4*8ABL17,60.8597979999999,-138.263001
RGI32-01.18131,Alaska-Yukon,4*8ABO26,59.8949009999999,-137.604004
RGI32-01.18132,Alaska-Yukon,4*8ABD10,59.9906999999999,-138.404999
RGI32-01.18133,Alaska-Yukon,4*8ABD4,59.9033009999999,-138.277999999999
RGI32-01.18137,Alaska-Yukon,4*9CAL151,60.900902,-138.942993
RGI32-01.18138,Alaska-Yukon,4*9CAN47,60.978802,-139.104004
RGI32-01.18145,Alaska-Yukon,4*9CAO81,60.9030989999999,-139.391007
RGI32-01.18150,Alaska-Yukon,4*8ABG25,60.2302019999999,-138.419997999999
RGI32-01.18154,Alaska-Yukon,4*8ABG19,60.221001,-138.335006999999
RGI32-01.18161,Alaska-Yukon,4*8ABI3,60.4463999999999,-138.263001
RGI32-01.18162,Alaska-Yukon,4*8ABH75,60.4466019999999,-138.416
RGI32-01.18163,Alaska-Yukon,4*8ABJ32,60.4538,-138.709
RGI32-01.18195,Alaska-Yukon,4*8ABI29,60.4781989999999,-138.382003999999
RGI32-01.18199,Alaska-Yukon,4*8ABJ43,60.570202,-138.610992
RGI32-01.18222,Alaska-Yukon,4*8ABJ45,60.6039999999999,-138.619994999999
RGI32-01.18235,Alaska-Yukon,4*8ABK35,60.7286,-138.675995
RGI32-01.18241,Alaska-Yukon,4*9CAN120,60.9052999999999,-139.141007
RGI32-01.18243,Alaska-Yukon,4*9CAN99,60.940601,-139.044997999999
RGI32-01.18253,Alaska-Yukon,4*8ABJ25,60.516998,-138.457000999999
RGI32-01.18259,Alaska-Yukon,4*8ABK26,60.6892009999999,-138.656997999999
RGI32-01.18261,Alaska-Yukon,Fdetsak4*8ABK47,60.659199,-138.701004
RGI32-01.18262,Alaska-Yukon,4*8ABJ58,60.6366999999999,-138.584
RGI32-01.18277,Alaska-Yukon,4*9CBE55,61.3419,-140.503998
RGI32-01.18278,Alaska-Yukon,4*9CBF29,61.3553009999999,-140.554001
RGI32-01.18279,Alaska-Yukon,4*9CAT25,61.395901,-140.065001999999
RGI32-01.18295,Alaska-Yukon,4*9CAP27,61.0355989999999,-139.494994999999
RGI32-01.18307,Alaska-Yukon,4*8ACB39,60.034599,-137.552994
RGI32-01.18312,Alaska-Yukon,4*8ABD59,59.952499,-138.027999999999
RGI32-01.18313,Alaska-Yukon,4*8ABE19,60.149101,-138.306
RGI32-01.18344,Alaska-Yukon,4*8ABI33,60.4963989999999,-138.427001999999
RGI32-01.18376,Alaska-Yukon,4*8ABM2,60.6596979999999,-137.611999999999
RGI32-01.18388,Alaska-Yukon,4*8AAI127,60.586201,-137.539002
RGI32-01.18389,Alaska-Yukon,4*8ABM9,60.5694009999999,-137.641998
RGI32-01.18401,Alaska-Yukon,4*9CAS2,61.2592009999999,-139.779007
RGI32-01.18404,Alaska-Yukon,4*9CBE38,61.3008,-140.412994
RGI32-01.18405,Alaska-Yukon,4*9CAT30,61.389198,-140.039002
RGI32-01.18412,Alaska-Yukon,4*9CAT3,61.343102,-139.932999
RGI32-01.18415,Alaska-Yukon,4*9CAM189,61.0625,-139.056
RGI32-01.18418,Alaska-Yukon,4*9CAN59,61.021801,-139.220001
RGI32-01.18478,Alaska-Yukon,4*8ABN117,60.101799,-137.843002
RGI32-01.18502,Alaska-Yukon,Littlechitistone1,61.5691989999999,-142.046997
