rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-03994,01,01-02,G208492E62991N,396688,624,2010-09-12T00:00:00,0,0,,1,-151.50596041761364,62.991293,,,0.241748149281486,,,,,,,,3.0
RGI2000-v7.0-G-01-03995,01,01-02,G208516E62970N,396701,624,2010-09-12T00:00:00,0,0,,1,-151.48366437175514,62.969448,,,0.461358450425403,,,,,,,,3.0
RGI2000-v7.0-G-01-03996,01,01-02,G208510E62965N,396697,624,2010-09-12T00:00:00,0,0,,1,-151.48977741591995,62.9648885,,,0.092959853123822,,,,,,,,3.0
RGI2000-v7.0-G-01-04014,01,01-02,G208403E62980N,396650,624,2010-09-12T00:00:00,0,0,Herron Glacier,1,-151.61430252435338,63.009319500000004,,,57.36230155330626,,,,,,,,3.0
RGI2000-v7.0-G-01-04015,01,01-02,G208369E62961N,396640,624,2010-09-12T00:00:00,0,0,,1,-151.63229663842708,62.9616125,,,0.163543414971836,,,,,,,,3.0
RGI2000-v7.0-G-01-04026,01,01-02,G208066E62843N,396587,624,2010-09-12T00:00:00,0,0,Chedotlothna Glacier,1,-151.93938144203568,62.862752,,,76.24224315458622,,,,,,,,3.0
RGI2000-v7.0-G-01-04059,01,01-02,G208052E62800N,396576,624,2010-09-12T00:00:00,0,0,,1,-151.9476054075449,62.799856000000005,,,0.105666862342264,,,,,,,,3.0
RGI2000-v7.0-G-01-04060,01,01-02,G208060E62799N,396584,624,2010-09-12T00:00:00,0,0,,1,-151.93901688088238,62.799031,,,0.236209663044324,,,,,,,,3.0
RGI2000-v7.0-G-01-04061,01,01-02,G208058E62795N,396581,624,2010-09-12T00:00:00,0,0,,1,-151.94260759064787,62.794675,,,0.150145600596608,,,,,,,,3.0
RGI2000-v7.0-G-01-04062,01,01-02,G208060E62790N,396583,624,2010-09-12T00:00:00,0,0,,1,-151.9402265120146,62.789818,,,0.112793572832079,,,,,,,,3.0
RGI2000-v7.0-G-01-04065,01,01-02,G208114E62799N,396602,624,2010-09-12T00:00:00,0,0,,1,-151.88664119065658,62.798967000000005,,,0.973691032957858,,,,,,,,3.0
RGI2000-v7.0-G-01-04066,01,01-02,G208123E62821N,396606,624,2010-09-12T00:00:00,0,0,,1,-151.87758119831224,62.820811,,,0.210380255474366,,,,,,,,3.0
RGI2000-v7.0-G-01-04169,01,01-02,G207101E61914N,395435,624,2010-09-12T00:00:00,0,0,Stoney Glacier,1,-152.89247067675288,61.920125,,,3.321202362144229,,,,,,,,1.0
RGI2000-v7.0-G-01-04242,01,01-02,G208581E62732N,396720,624,2010-09-12T00:00:00,0,0,,1,-151.4398009658159,62.7206925,,,3.936789083289622,,,,,,,,1.0
RGI2000-v7.0-G-01-04256,01,01-02,G208564E62741N,396726,624,2010-09-12T00:00:00,0,0,,1,-151.42806304408418,62.7429905,,,1.029033581823993,,,,,,,,1.0
